timestamp,close,potential_side,below_lower_MR_long,above_upper_MR_short,price_above_high3,price_below_low3,rsi_gt_60_BO_long,rsi_lt_40_BO_short,potential_stop,atr_gt_median_vol
2026-03-23 23:00:00,70133.0,0,False,False,False,False,True,False,70133.0,True
2026-03-24 00:00:00,70561.9,0,False,False,False,False,True,False,70561.9,True
2026-03-24 01:00:00,71081.4,0,False,False,False,False,True,False,71081.4,True
2026-03-24 02:00:00,71075.1,0,False,False,False,False,True,False,71075.1,True
2026-03-24 03:00:00,70673.3,0,False,False,False,False,True,False,70673.3,True
2026-03-24 04:00:00,70909.6,0,False,False,False,False,True,False,70909.6,True
2026-03-24 05:00:00,70852.7,0,False,False,False,False,True,False,70852.7,True
2026-03-24 06:00:00,70779.0,0,False,False,False,False,True,False,70779.0,True
2026-03-24 07:00:00,70900.0,0,False,False,False,False,True,False,70900.0,True
2026-03-24 08:00:00,70684.0,0,False,False,False,False,True,False,70684.0,True
2026-03-24 09:00:00,70513.1,0,False,False,False,False,False,False,70513.1,True
2026-03-24 10:00:00,70489.9,0,False,False,False,False,False,False,70489.9,True
